megaraid_sas,00.00.06.15,version,
mptsas,4.28.00.00,version,
lpfc,0:8.3.5.77.1p,version,
bnx2x,1.72.55,version,
megaraid,2.00.4,version,
enic,2.1.1.39-1,version,
bnx2i,2.7.0.4i,version,
qla4xxx,5.02.14.01.05.06-c0,version,
be2net,4.1.450.7,version,
bfa,3.1.0.0,version,
hpsa,3.0.0-6,version,
cxgb4,1.1.1.0-xen,version,
cxgb3,1.6.0.3-xen,version,
igb,3.3.6,version,
qlcnic,5.0.27,version,
mlx4_en,1.5.7.4 (March 2012),version,
tg3,3.122o,version,
e100,3.5.24-k2-NAPI,version,
qla2xxx,8.04.00.02.55.6-k,version,
fnic,1.5.0.1,version,
cnic,2.5.9d,version,
cxgb3i,2.0.0,version,
bnx2,2.2.1j,version,
ixgbe,3.8.21-NAPI,version,
vxge,2.5.2.22572-r-p3.5.0.1,version,
bna,3.1.0.0,version,
e1000,8.0.35-NAPI,version,
mpt2sas,13.100.00.00,version,
ixgb,1.0.135-k2-NAPI,version,
e1000e,1.10.6-NAPI,version,
be2iscsi,2.0.549.0,description,Driver (\d+\.\d+\.\d+\.\d+)
qlge,v1.00.00.30,version,
netxen_nic,4.0.78,version,
cciss,4.6.28-19,version,
mlx4_core,1.0-mlnx_ofed1.5.3,version,
mppVhba,09.03.0C00.0641,version,
sfc,3.2.1.6079,version,
isci,1.1.0,version,
