megaraid_sas,06.803.02.00-rc1,version,
mptsas,3.04.20,version,
lpfc,0:10.2.340.0,version,
bnx2x,1.710.39,version,
megaraid,2.00.4,version,
enic,2.1.1.75,version,
bnx2i,2.7.10.31b,version,
qla4xxx,5.04.00.00.06.05-c0,version,
be2net,10.2.316.1,version,
bfa,3.2.1.1,version,
hpsa,3.4.6-170,version,
cxgb4,2.0.0-ko,version,
cxgb3,1.1.5-ko,version,
igb,5.2.9.4,version,
igbvf,2.3.5,version,
qlcnic,5.3.55.6,version,
mlx4_en,2.2-1.0.1 (May 22 2014),version,
tg3,3.136h,version,
e100,3.5.24-k2-NAPI,version,
qla2xxx,8.07.00.09.66.5-k,version,
fnic,1.6.0.12,version,
cnic,2.5.19b,version,
bnx2,2.2.5f,version,
ixgbe,3.22.3,version,
ixgbevf,2.15.3,version,
bna,3.2.1.1,version,
e1000,7.3.21-k8-NAPI,version,
mpt2sas,18.100.00.00,version,
ixgb,1.0.135-k2-NAPI,version,
e1000e,3.1.0.2-NAPI,version,
qlge,1.00.00.34,version,
netxen_nic,4.0.81,version,
cciss,4.6.28-22,version,
mlx4_core,2.2-1.0.1,version,
isci,1.2.0,version,
i40e,1.1.23,version,
i40evf,1.1.1,version,
dell-nvme,0.8-dell1.17,version,
